L	lambda	gamma	beta	log10_omega_bar	log10_chi	k	log10_kappa_1	log10_kappa_2
92.5	11.5	14.1	0.938	-2.11	-1.8	20.2	-3.49	2.78
59.8	9.97	14.1	0.938	-2.11	-1.8	20.2	-3.49	2.78
59.8	11.5	7.95	0.938	-2.11	-1.8	20.2	-3.49	2.78
59.8	11.5	14.1	0.789	-2.11	-1.8	20.2	-3.49	2.78
59.8	11.5	14.1	0.938	-3.35	-1.8	20.2	-3.49	2.78
59.8	11.5	14.1	0.938	-2.11	-1.2	20.2	-3.49	2.78
59.8	11.5	14.1	0.938	-2.11	-1.8	19	-3.49	2.78
59.8	11.5	14.1	0.938	-2.11	-1.8	20.2	-4.17	2.78
59.8	11.5	14.1	0.938	-2.11	-1.8	20.2	-3.49	2
59.8	9.97	7.95	0.789	-3.35	-1.2	19	-4.17	2
92.5	11.5	7.95	0.789	-3.35	-1.2	19	-4.17	2
92.5	9.97	14.1	0.789	-3.35	-1.2	19	-4.17	2
92.5	9.97	7.95	0.938	-3.35	-1.2	19	-4.17	2
92.5	9.97	7.95	0.789	-2.11	-1.2	19	-4.17	2
92.5	9.97	7.95	0.789	-3.35	-1.8	19	-4.17	2
92.5	9.97	7.95	0.789	-3.35	-1.2	20.2	-4.17	2
92.5	9.97	7.95	0.789	-3.35	-1.2	19	-3.49	2
92.5	9.97	7.95	0.789	-3.35	-1.2	19	-4.17	2.78
92.5	9.97	7.95	0.789	-3.35	-1.2	19	-4.17	2
174	32.6	8.43	0.771	-3.55	-0.281	11	-4.28	1.38
195	32.6	8.43	0.771	-3.55	-0.281	11	-4.28	1.38
174	38.8	8.43	0.771	-3.55	-0.281	11	-4.28	1.38
174	32.6	16.5	0.771	-3.55	-0.281	11	-4.28	1.38
174	32.6	8.43	0.958	-3.55	-0.281	11	-4.28	1.38
174	32.6	8.43	0.771	-2.05	-0.281	11	-4.28	1.38
174	32.6	8.43	0.771	-3.55	-0.936	11	-4.28	1.38
174	32.6	8.43	0.771	-3.55	-0.281	9.03	-4.28	1.38
174	32.6	8.43	0.771	-3.55	-0.281	11	-2.87	1.38
174	32.6	8.43	0.771	-3.55	-0.281	11	-4.28	1.15
174	38.8	16.5	0.958	-2.05	-0.936	9.03	-2.87	1.15
195	32.6	16.5	0.958	-2.05	-0.936	9.03	-2.87	1.15
195	38.8	8.43	0.958	-2.05	-0.936	9.03	-2.87	1.15
195	38.8	16.5	0.771	-2.05	-0.936	9.03	-2.87	1.15
195	38.8	16.5	0.958	-3.55	-0.936	9.03	-2.87	1.15
195	38.8	16.5	0.958	-2.05	-0.281	9.03	-2.87	1.15
195	38.8	16.5	0.958	-2.05	-0.936	11	-2.87	1.15
195	38.8	16.5	0.958	-2.05	-0.936	9.03	-4.28	1.15
195	38.8	16.5	0.958	-2.05	-0.936	9.03	-2.87	1.38
195	38.8	16.5	0.958	-2.05	-0.936	9.03	-2.87	1.15
184	5.22	10.5	0.803	-3.77	-0.832	24.8	-3.04	2.59
21.6	5.22	10.5	0.803	-3.77	-0.832	24.8	-3.04	2.59
184	7.2	10.5	0.803	-3.77	-0.832	24.8	-3.04	2.59
184	5.22	14.5	0.803	-3.77	-0.832	24.8	-3.04	2.59
184	5.22	10.5	0.763	-3.77	-0.832	24.8	-3.04	2.59
184	5.22	10.5	0.803	-2.7	-0.832	24.8	-3.04	2.59
184	5.22	10.5	0.803	-3.77	-0.671	24.8	-3.04	2.59
184	5.22	10.5	0.803	-3.77	-0.832	6.52	-3.04	2.59
184	5.22	10.5	0.803	-3.77	-0.832	24.8	-3.19	2.59
184	5.22	10.5	0.803	-3.77	-0.832	24.8	-3.04	1.28
184	7.2	14.5	0.763	-2.7	-0.671	6.52	-3.19	1.28
21.6	5.22	14.5	0.763	-2.7	-0.671	6.52	-3.19	1.28
21.6	7.2	10.5	0.763	-2.7	-0.671	6.52	-3.19	1.28
21.6	7.2	14.5	0.803	-2.7	-0.671	6.52	-3.19	1.28
21.6	7.2	14.5	0.763	-3.77	-0.671	6.52	-3.19	1.28
21.6	7.2	14.5	0.763	-2.7	-0.832	6.52	-3.19	1.28
21.6	7.2	14.5	0.763	-2.7	-0.671	24.8	-3.19	1.28
21.6	7.2	14.5	0.763	-2.7	-0.671	6.52	-3.04	1.28
21.6	7.2	14.5	0.763	-2.7	-0.671	6.52	-3.19	2.59
21.6	7.2	14.5	0.763	-2.7	-0.671	6.52	-3.19	1.28
27.6	36.6	15	0.969	-2.32	-1.32	14	-4.67	1.2
131	36.6	15	0.969	-2.32	-1.32	14	-4.67	1.2
27.6	31.7	15	0.969	-2.32	-1.32	14	-4.67	1.2
27.6	36.6	8.65	0.969	-2.32	-1.32	14	-4.67	1.2
27.6	36.6	15	0.999	-2.32	-1.32	14	-4.67	1.2
27.6	36.6	15	0.969	-3.88	-1.32	14	-4.67	1.2
27.6	36.6	15	0.969	-2.32	-1.46	14	-4.67	1.2
27.6	36.6	15	0.969	-2.32	-1.32	16.5	-4.67	1.2
27.6	36.6	15	0.969	-2.32	-1.32	14	-3.78	1.2
27.6	36.6	15	0.969	-2.32	-1.32	14	-4.67	2.38
27.6	31.7	8.65	0.999	-3.88	-1.46	16.5	-3.78	2.38
131	36.6	8.65	0.999	-3.88	-1.46	16.5	-3.78	2.38
131	31.7	15	0.999	-3.88	-1.46	16.5	-3.78	2.38
131	31.7	8.65	0.969	-3.88	-1.46	16.5	-3.78	2.38
131	31.7	8.65	0.999	-2.32	-1.46	16.5	-3.78	2.38
131	31.7	8.65	0.999	-3.88	-1.32	16.5	-3.78	2.38
131	31.7	8.65	0.999	-3.88	-1.46	14	-3.78	2.38
131	31.7	8.65	0.999	-3.88	-1.46	16.5	-4.67	2.38
131	31.7	8.65	0.999	-3.88	-1.46	16.5	-3.78	1.2
131	31.7	8.65	0.999	-3.88	-1.46	16.5	-3.78	2.38
75	17.8	7.93	0.869	-2.96	-1.51	18.3	-4.08	1.6
167	17.8	7.93	0.869	-2.96	-1.51	18.3	-4.08	1.6
75	24.8	7.93	0.869	-2.96	-1.51	18.3	-4.08	1.6
75	17.8	11.7	0.869	-2.96	-1.51	18.3	-4.08	1.6
75	17.8	7.93	0.836	-2.96	-1.51	18.3	-4.08	1.6
75	17.8	7.93	0.869	-2.44	-1.51	18.3	-4.08	1.6
75	17.8	7.93	0.869	-2.96	-1.76	18.3	-4.08	1.6
75	17.8	7.93	0.869	-2.96	-1.51	12.3	-4.08	1.6
75	17.8	7.93	0.869	-2.96	-1.51	18.3	-4.28	1.6
75	17.8	7.93	0.869	-2.96	-1.51	18.3	-4.08	1.81
75	24.8	11.7	0.836	-2.44	-1.76	12.3	-4.28	1.81
167	17.8	11.7	0.836	-2.44	-1.76	12.3	-4.28	1.81
167	24.8	7.93	0.836	-2.44	-1.76	12.3	-4.28	1.81
167	24.8	11.7	0.869	-2.44	-1.76	12.3	-4.28	1.81
167	24.8	11.7	0.836	-2.96	-1.76	12.3	-4.28	1.81
167	24.8	11.7	0.836	-2.44	-1.51	12.3	-4.28	1.81
167	24.8	11.7	0.836	-2.44	-1.76	18.3	-4.28	1.81
167	24.8	11.7	0.836	-2.44	-1.76	12.3	-4.08	1.81
167	24.8	11.7	0.836	-2.44	-1.76	12.3	-4.28	1.6
167	24.8	11.7	0.836	-2.44	-1.76	12.3	-4.28	1.81
142	30.6	12.2	0.918	-3.4	-0.0293	7.95	-2.16	2.25
75.6	30.6	12.2	0.918	-3.4	-0.0293	7.95	-2.16	2.25
142	14	12.2	0.918	-3.4	-0.0293	7.95	-2.16	2.25
142	30.6	13.1	0.918	-3.4	-0.0293	7.95	-2.16	2.25
142	30.6	12.2	0.916	-3.4	-0.0293	7.95	-2.16	2.25
142	30.6	12.2	0.918	-3.14	-0.0293	7.95	-2.16	2.25
142	30.6	12.2	0.918	-3.4	-0.113	7.95	-2.16	2.25
142	30.6	12.2	0.918	-3.4	-0.0293	22.3	-2.16	2.25
142	30.6	12.2	0.918	-3.4	-0.0293	7.95	-2.56	2.25
142	30.6	12.2	0.918	-3.4	-0.0293	7.95	-2.16	2.92
142	14	13.1	0.916	-3.14	-0.113	22.3	-2.56	2.92
75.6	30.6	13.1	0.916	-3.14	-0.113	22.3	-2.56	2.92
75.6	14	12.2	0.916	-3.14	-0.113	22.3	-2.56	2.92
75.6	14	13.1	0.918	-3.14	-0.113	22.3	-2.56	2.92
75.6	14	13.1	0.916	-3.4	-0.113	22.3	-2.56	2.92
75.6	14	13.1	0.916	-3.14	-0.0293	22.3	-2.56	2.92
75.6	14	13.1	0.916	-3.14	-0.113	7.95	-2.56	2.92
75.6	14	13.1	0.916	-3.14	-0.113	22.3	-2.16	2.92
75.6	14	13.1	0.916	-3.14	-0.113	22.3	-2.56	2.25
75.6	14	13.1	0.916	-3.14	-0.113	22.3	-2.56	2.92
154	12.4	7.24	0.997	-2.53	-0.468	23	-2.85	2.66
182	12.4	7.24	0.997	-2.53	-0.468	23	-2.85	2.66
154	17.4	7.24	0.997	-2.53	-0.468	23	-2.85	2.66
154	12.4	14.2	0.997	-2.53	-0.468	23	-2.85	2.66
154	12.4	7.24	0.984	-2.53	-0.468	23	-2.85	2.66
154	12.4	7.24	0.997	-2.28	-0.468	23	-2.85	2.66
154	12.4	7.24	0.997	-2.53	-1.12	23	-2.85	2.66
154	12.4	7.24	0.997	-2.53	-0.468	6.14	-2.85	2.66
154	12.4	7.24	0.997	-2.53	-0.468	23	-3.93	2.66
154	12.4	7.24	0.997	-2.53	-0.468	23	-2.85	1.06
154	17.4	14.2	0.984	-2.28	-1.12	6.14	-3.93	1.06
182	12.4	14.2	0.984	-2.28	-1.12	6.14	-3.93	1.06
182	17.4	7.24	0.984	-2.28	-1.12	6.14	-3.93	1.06
182	17.4	14.2	0.997	-2.28	-1.12	6.14	-3.93	1.06
182	17.4	14.2	0.984	-2.53	-1.12	6.14	-3.93	1.06
182	17.4	14.2	0.984	-2.28	-0.468	6.14	-3.93	1.06
182	17.4	14.2	0.984	-2.28	-1.12	23	-3.93	1.06
182	17.4	14.2	0.984	-2.28	-1.12	6.14	-2.85	1.06
182	17.4	14.2	0.984	-2.28	-1.12	6.14	-3.93	2.66
182	17.4	14.2	0.984	-2.28	-1.12	6.14	-3.93	1.06
85.5	33.5	12.8	0.79	-3.09	-1.95	13.2	-4.86	1.05
105	33.5	12.8	0.79	-3.09	-1.95	13.2	-4.86	1.05
85.5	23.8	12.8	0.79	-3.09	-1.95	13.2	-4.86	1.05
85.5	33.5	10.2	0.79	-3.09	-1.95	13.2	-4.86	1.05
85.5	33.5	12.8	0.779	-3.09	-1.95	13.2	-4.86	1.05
85.5	33.5	12.8	0.79	-3.1	-1.95	13.2	-4.86	1.05
85.5	33.5	12.8	0.79	-3.09	-0.757	13.2	-4.86	1.05
85.5	33.5	12.8	0.79	-3.09	-1.95	16.1	-4.86	1.05
85.5	33.5	12.8	0.79	-3.09	-1.95	13.2	-3.02	1.05
85.5	33.5	12.8	0.79	-3.09	-1.95	13.2	-4.86	2.17
85.5	23.8	10.2	0.779	-3.1	-0.757	16.1	-3.02	2.17
105	33.5	10.2	0.779	-3.1	-0.757	16.1	-3.02	2.17
105	23.8	12.8	0.779	-3.1	-0.757	16.1	-3.02	2.17
105	23.8	10.2	0.79	-3.1	-0.757	16.1	-3.02	2.17
105	23.8	10.2	0.779	-3.09	-0.757	16.1	-3.02	2.17
105	23.8	10.2	0.779	-3.1	-1.95	16.1	-3.02	2.17
105	23.8	10.2	0.779	-3.1	-0.757	13.2	-3.02	2.17
105	23.8	10.2	0.779	-3.1	-0.757	16.1	-4.86	2.17
105	23.8	10.2	0.779	-3.1	-0.757	16.1	-3.02	1.05
105	23.8	10.2	0.779	-3.1	-0.757	16.1	-3.02	2.17
38.2	19.5	9.83	0.923	-3.7	-1.13	18.9	-3.89	1.64
57.1	19.5	9.83	0.923	-3.7	-1.13	18.9	-3.89	1.64
38.2	35	9.83	0.923	-3.7	-1.13	18.9	-3.89	1.64
38.2	19.5	7.6	0.923	-3.7	-1.13	18.9	-3.89	1.64
38.2	19.5	9.83	0.933	-3.7	-1.13	18.9	-3.89	1.64
38.2	19.5	9.83	0.923	-2.54	-1.13	18.9	-3.89	1.64
38.2	19.5	9.83	0.923	-3.7	-0.463	18.9	-3.89	1.64
38.2	19.5	9.83	0.923	-3.7	-1.13	10.1	-3.89	1.64
38.2	19.5	9.83	0.923	-3.7	-1.13	18.9	-2.04	1.64
38.2	19.5	9.83	0.923	-3.7	-1.13	18.9	-3.89	1.52
38.2	35	7.6	0.933	-2.54	-0.463	10.1	-2.04	1.52
57.1	19.5	7.6	0.933	-2.54	-0.463	10.1	-2.04	1.52
57.1	35	9.83	0.933	-2.54	-0.463	10.1	-2.04	1.52
57.1	35	7.6	0.923	-2.54	-0.463	10.1	-2.04	1.52
57.1	35	7.6	0.933	-3.7	-0.463	10.1	-2.04	1.52
57.1	35	7.6	0.933	-2.54	-1.13	10.1	-2.04	1.52
57.1	35	7.6	0.933	-2.54	-0.463	18.9	-2.04	1.52
57.1	35	7.6	0.933	-2.54	-0.463	10.1	-3.89	1.52
57.1	35	7.6	0.933	-2.54	-0.463	10.1	-2.04	1.64
57.1	35	7.6	0.933	-2.54	-0.463	10.1	-2.04	1.52
196	24.3	15.5	0.848	-2.14	-0.642	9.88	-2.35	2
141	24.3	15.5	0.848	-2.14	-0.642	9.88	-2.35	2
196	6.2	15.5	0.848	-2.14	-0.642	9.88	-2.35	2
196	24.3	16	0.848	-2.14	-0.642	9.88	-2.35	2
196	24.3	15.5	0.821	-2.14	-0.642	9.88	-2.35	2
196	24.3	15.5	0.848	-3.85	-0.642	9.88	-2.35	2
196	24.3	15.5	0.848	-2.14	-1.66	9.88	-2.35	2
196	24.3	15.5	0.848	-2.14	-0.642	20	-2.35	2
196	24.3	15.5	0.848	-2.14	-0.642	9.88	-4.83	2
196	24.3	15.5	0.848	-2.14	-0.642	9.88	-2.35	2.64
196	6.2	16	0.821	-3.85	-1.66	20	-4.83	2.64
141	24.3	16	0.821	-3.85	-1.66	20	-4.83	2.64
141	6.2	15.5	0.821	-3.85	-1.66	20	-4.83	2.64
141	6.2	16	0.848	-3.85	-1.66	20	-4.83	2.64
141	6.2	16	0.821	-2.14	-1.66	20	-4.83	2.64
141	6.2	16	0.821	-3.85	-0.642	20	-4.83	2.64
141	6.2	16	0.821	-3.85	-1.66	9.88	-4.83	2.64
141	6.2	16	0.821	-3.85	-1.66	20	-2.35	2.64
141	6.2	16	0.821	-3.85	-1.66	20	-4.83	2
141	6.2	16	0.821	-3.85	-1.66	20	-4.83	2.64
161	14.4	13.5	0.817	-2.43	-0.221	16.1	-3.58	1.96
77.3	14.4	13.5	0.817	-2.43	-0.221	16.1	-3.58	1.96
161	37.7	13.5	0.817	-2.43	-0.221	16.1	-3.58	1.96
161	14.4	15.4	0.817	-2.43	-0.221	16.1	-3.58	1.96
161	14.4	13.5	0.891	-2.43	-0.221	16.1	-3.58	1.96
161	14.4	13.5	0.817	-3.38	-0.221	16.1	-3.58	1.96
161	14.4	13.5	0.817	-2.43	-1.92	16.1	-3.58	1.96
161	14.4	13.5	0.817	-2.43	-0.221	22.6	-3.58	1.96
161	14.4	13.5	0.817	-2.43	-0.221	16.1	-4.61	1.96
161	14.4	13.5	0.817	-2.43	-0.221	16.1	-3.58	2.75
161	37.7	15.4	0.891	-3.38	-1.92	22.6	-4.61	2.75
77.3	14.4	15.4	0.891	-3.38	-1.92	22.6	-4.61	2.75
77.3	37.7	13.5	0.891	-3.38	-1.92	22.6	-4.61	2.75
77.3	37.7	15.4	0.817	-3.38	-1.92	22.6	-4.61	2.75
77.3	37.7	15.4	0.891	-2.43	-1.92	22.6	-4.61	2.75
77.3	37.7	15.4	0.891	-3.38	-0.221	22.6	-4.61	2.75
77.3	37.7	15.4	0.891	-3.38	-1.92	16.1	-4.61	2.75
77.3	37.7	15.4	0.891	-3.38	-1.92	22.6	-3.58	2.75
77.3	37.7	15.4	0.891	-3.38	-1.92	22.6	-4.61	1.96
77.3	37.7	15.4	0.891	-3.38	-1.92	22.6	-4.61	2.75
50.6	27.2	9.09	0.892	-3.99	-1.74	5.13	-2.7	2.32
165	27.2	9.09	0.892	-3.99	-1.74	5.13	-2.7	2.32
50.6	13.3	9.09	0.892	-3.99	-1.74	5.13	-2.7	2.32
50.6	27.2	9.4	0.892	-3.99	-1.74	5.13	-2.7	2.32
50.6	27.2	9.09	0.846	-3.99	-1.74	5.13	-2.7	2.32
50.6	27.2	9.09	0.892	-2.2	-1.74	5.13	-2.7	2.32
50.6	27.2	9.09	0.892	-3.99	-0.199	5.13	-2.7	2.32
50.6	27.2	9.09	0.892	-3.99	-1.74	12.5	-2.7	2.32
50.6	27.2	9.09	0.892	-3.99	-1.74	5.13	-2.52	2.32
50.6	27.2	9.09	0.892	-3.99	-1.74	5.13	-2.7	1.89
50.6	13.3	9.4	0.846	-2.2	-0.199	12.5	-2.52	1.89
165	27.2	9.4	0.846	-2.2	-0.199	12.5	-2.52	1.89
165	13.3	9.09	0.846	-2.2	-0.199	12.5	-2.52	1.89
165	13.3	9.4	0.892	-2.2	-0.199	12.5	-2.52	1.89
165	13.3	9.4	0.846	-3.99	-0.199	12.5	-2.52	1.89
165	13.3	9.4	0.846	-2.2	-1.74	12.5	-2.52	1.89
165	13.3	9.4	0.846	-2.2	-0.199	5.13	-2.52	1.89
165	13.3	9.4	0.846	-2.2	-0.199	12.5	-2.7	1.89
165	13.3	9.4	0.846	-2.2	-0.199	12.5	-2.52	2.32
165	13.3	9.4	0.846	-2.2	-0.199	12.5	-2.52	1.89
98.4	8.41	16.1	0.758	-3.35	-1.43	22	-3.3	2.97
112	8.41	16.1	0.758	-3.35	-1.43	22	-3.3	2.97
98.4	20.1	16.1	0.758	-3.35	-1.43	22	-3.3	2.97
98.4	8.41	10.8	0.758	-3.35	-1.43	22	-3.3	2.97
98.4	8.41	16.1	0.943	-3.35	-1.43	22	-3.3	2.97
98.4	8.41	16.1	0.758	-3.63	-1.43	22	-3.3	2.97
98.4	8.41	16.1	0.758	-3.35	-0.523	22	-3.3	2.97
98.4	8.41	16.1	0.758	-3.35	-1.43	18.6	-3.3	2.97
98.4	8.41	16.1	0.758	-3.35	-1.43	22	-3.43	2.97
98.4	8.41	16.1	0.758	-3.35	-1.43	22	-3.3	2.29
98.4	20.1	10.8	0.943	-3.63	-0.523	18.6	-3.43	2.29
112	8.41	10.8	0.943	-3.63	-0.523	18.6	-3.43	2.29
112	20.1	16.1	0.943	-3.63	-0.523	18.6	-3.43	2.29
112	20.1	10.8	0.758	-3.63	-0.523	18.6	-3.43	2.29
112	20.1	10.8	0.943	-3.35	-0.523	18.6	-3.43	2.29
112	20.1	10.8	0.943	-3.63	-1.43	18.6	-3.43	2.29
112	20.1	10.8	0.943	-3.63	-0.523	22	-3.43	2.29
112	20.1	10.8	0.943	-3.63	-0.523	18.6	-3.3	2.29
112	20.1	10.8	0.943	-3.63	-0.523	18.6	-3.43	2.97
112	20.1	10.8	0.943	-3.63	-0.523	18.6	-3.43	2.29
119	39.8	11.8	0.966	-2.79	-0.919	11.8	-4.47	1.36
40.3	39.8	11.8	0.966	-2.79	-0.919	11.8	-4.47	1.36
119	30.9	11.8	0.966	-2.79	-0.919	11.8	-4.47	1.36
119	39.8	12.4	0.966	-2.79	-0.919	11.8	-4.47	1.36
119	39.8	11.8	0.804	-2.79	-0.919	11.8	-4.47	1.36
119	39.8	11.8	0.966	-2.94	-0.919	11.8	-4.47	1.36
119	39.8	11.8	0.966	-2.79	-1.36	11.8	-4.47	1.36
119	39.8	11.8	0.966	-2.79	-0.919	8.63	-4.47	1.36
119	39.8	11.8	0.966	-2.79	-0.919	11.8	-3.64	1.36
119	39.8	11.8	0.966	-2.79	-0.919	11.8	-4.47	1.42
119	30.9	12.4	0.804	-2.94	-1.36	8.63	-3.64	1.42
40.3	39.8	12.4	0.804	-2.94	-1.36	8.63	-3.64	1.42
40.3	30.9	11.8	0.804	-2.94	-1.36	8.63	-3.64	1.42
40.3	30.9	12.4	0.966	-2.94	-1.36	8.63	-3.64	1.42
40.3	30.9	12.4	0.804	-2.79	-1.36	8.63	-3.64	1.42
40.3	30.9	12.4	0.804	-2.94	-0.919	8.63	-3.64	1.42
40.3	30.9	12.4	0.804	-2.94	-1.36	11.8	-3.64	1.42
40.3	30.9	12.4	0.804	-2.94	-1.36	8.63	-4.47	1.42
40.3	30.9	12.4	0.804	-2.94	-1.36	8.63	-3.64	1.36
40.3	30.9	12.4	0.804	-2.94	-1.36	8.63	-3.64	1.42
112	8.05	13.1	0.861	-3.57	-1.68	6.29	-3.14	1.1
122	8.05	13.1	0.861	-3.57	-1.68	6.29	-3.14	1.1
112	30	13.1	0.861	-3.57	-1.68	6.29	-3.14	1.1
112	8.05	15	0.861	-3.57	-1.68	6.29	-3.14	1.1
112	8.05	13.1	0.912	-3.57	-1.68	6.29	-3.14	1.1
112	8.05	13.1	0.861	-2.64	-1.68	6.29	-3.14	1.1
112	8.05	13.1	0.861	-3.57	-0.824	6.29	-3.14	1.1
112	8.05	13.1	0.861	-3.57	-1.68	24	-3.14	1.1
112	8.05	13.1	0.861	-3.57	-1.68	6.29	-4.15	1.1
112	8.05	13.1	0.861	-3.57	-1.68	6.29	-3.14	1.6
112	30	15	0.912	-2.64	-0.824	24	-4.15	1.6
122	8.05	15	0.912	-2.64	-0.824	24	-4.15	1.6
122	30	13.1	0.912	-2.64	-0.824	24	-4.15	1.6
122	30	15	0.861	-2.64	-0.824	24	-4.15	1.6
122	30	15	0.912	-3.57	-0.824	24	-4.15	1.6
122	30	15	0.912	-2.64	-1.68	24	-4.15	1.6
122	30	15	0.912	-2.64	-0.824	6.29	-4.15	1.6
122	30	15	0.912	-2.64	-0.824	24	-3.14	1.6
122	30	15	0.912	-2.64	-0.824	24	-4.15	1.1
122	30	15	0.912	-2.64	-0.824	24	-4.15	1.6
87.5	37.9	7.6	0.91	-2.01	-0.16	17.4	-4.59	2.74
30.8	37.9	7.6	0.91	-2.01	-0.16	17.4	-4.59	2.74
87.5	18.9	7.6	0.91	-2.01	-0.16	17.4	-4.59	2.74
87.5	37.9	8.52	0.91	-2.01	-0.16	17.4	-4.59	2.74
87.5	37.9	7.6	0.835	-2.01	-0.16	17.4	-4.59	2.74
87.5	37.9	7.6	0.91	-3.96	-0.16	17.4	-4.59	2.74
87.5	37.9	7.6	0.91	-2.01	-1.05	17.4	-4.59	2.74
87.5	37.9	7.6	0.91	-2.01	-0.16	13.9	-4.59	2.74
87.5	37.9	7.6	0.91	-2.01	-0.16	17.4	-2.82	2.74
87.5	37.9	7.6	0.91	-2.01	-0.16	17.4	-4.59	2.74
87.5	18.9	8.52	0.835	-3.96	-1.05	13.9	-2.82	2.74
30.8	37.9	8.52	0.835	-3.96	-1.05	13.9	-2.82	2.74
30.8	18.9	7.6	0.835	-3.96	-1.05	13.9	-2.82	2.74
30.8	18.9	8.52	0.91	-3.96	-1.05	13.9	-2.82	2.74
30.8	18.9	8.52	0.835	-2.01	-1.05	13.9	-2.82	2.74
30.8	18.9	8.52	0.835	-3.96	-0.16	13.9	-2.82	2.74
30.8	18.9	8.52	0.835	-3.96	-1.05	17.4	-2.82	2.74
30.8	18.9	8.52	0.835	-3.96	-1.05	13.9	-4.59	2.74
30.8	18.9	8.52	0.835	-3.96	-1.05	13.9	-2.82	2.74
30.8	18.9	8.52	0.835	-3.96	-1.05	13.9	-2.82	2.74
46	15.1	15.2	0.81	-2.65	-0.982	10.6	-3.61	2.08
66.5	15.1	15.2	0.81	-2.65	-0.982	10.6	-3.61	2.08
46	12.6	15.2	0.81	-2.65	-0.982	10.6	-3.61	2.08
46	15.1	11.8	0.81	-2.65	-0.982	10.6	-3.61	2.08
46	15.1	15.2	0.985	-2.65	-0.982	10.6	-3.61	2.08
46	15.1	15.2	0.81	-2.4	-0.982	10.6	-3.61	2.08
46	15.1	15.2	0.81	-2.65	-1.73	10.6	-3.61	2.08
46	15.1	15.2	0.81	-2.65	-0.982	19.8	-3.61	2.08
46	15.1	15.2	0.81	-2.65	-0.982	10.6	-2.19	2.08
46	15.1	15.2	0.81	-2.65	-0.982	10.6	-3.61	1.06
46	12.6	11.8	0.985	-2.4	-1.73	19.8	-2.19	1.06
66.5	15.1	11.8	0.985	-2.4	-1.73	19.8	-2.19	1.06
66.5	12.6	15.2	0.985	-2.4	-1.73	19.8	-2.19	1.06
66.5	12.6	11.8	0.81	-2.4	-1.73	19.8	-2.19	1.06
